gameid,season,homeOrAway,teamSkaterStatsgoals,teamSkaterStatspim,teamSkaterStatsshots,teamSkaterStatspowerPlayPercentage,teamSkaterStatspowerPlayGoals,teamSkaterStatspowerPlayOpportunities,teamSkaterStatsfaceOffWinPercentage,teamSkaterStatsblocked,teamSkaterStatstakeaways,teamSkaterStatsgiveaways,teamSkaterStatshits,teamid
41,2018,A,7,2,30,67,2,3,48,11,11,10,12,10
41,2019,A,2,15,35,33,1,3,49,9,5,9,9,28
41,2015,H,1,6,23,0,0,4,44,6,10,18,16,12
41,2016,H,7,14,42,50,1,2,50,23,8,16,20,9
41,2017,H,1,4,42,0,0,5,51,11,9,15,21,8
41,2018,H,4,6,34,100,1,1,53,15,5,17,23,25
41,2019,H,5,11,25,20,1,5,51,16,13,14,12,18
42,2015,A,1,6,21,0,0,3,54,17,4,4,11,14
42,2016,A,3,8,31,0,0,3,53,7,11,5,19,13
42,2017,A,5,10,30,40,2,5,39,14,6,9,13,4
42,2018,A,7,24,45,29,2,7,52,16,4,6,26,4
42,2019,A,4,9,40,50,1,2,53,18,7,5,21,26
