Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Travis Boyd (13678414),Travis Boyd,13678414,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,3.9
RW,Chandler Stephenson (13678428),Chandler Stephenson,13678428,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,3.44
RW,Richard Panik (13678450),Richard Panik,13678450,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,1.64
RW,Kody Clark (13678500),Kody Clark,13678500,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
LW,Scott Wilson (13678522),Scott Wilson,13678522,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
LW,C.J. Smith (13678534),C.J. Smith,13678534,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
RW,Tage Thompson (13678538),Tage Thompson,13678538,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
LW,Remi Elie (13678546),Remi Elie,13678546,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
D,Jonas Siegenthaler (13678780),Jonas Siegenthaler,13678780,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,4.35
D,Nick Jensen (13678782),Nick Jensen,13678782,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,4.16
D,Tyler Lewington (13678834),Tyler Lewington,13678834,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,1.9
D,Matt Hunwick (13678840),Matt Hunwick,13678840,D/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
